Source,Target,Type,Weight
13,66,Directed,13
10,38,Directed,1
13,62,Directed,2
13,61,Directed,1
10,31,Directed,3
17,46,Directed,2
10,33,Directed,1
10,36,Directed,5
13,69,Directed,1
26,3,Directed,46
26,2,Directed,46
26,1,Directed,1
7,87,Directed,1
26,7,Directed,1
26,5,Directed,1
26,4,Directed,49
26,9,Directed,4
2,17,Directed,3
7,88,Directed,1
4,39,Directed,2
27,14,Directed,4
27,15,Directed,4
27,17,Directed,2
27,10,Directed,2
27,11,Directed,1
61,1,Directed,1
27,13,Directed,1
4,67,Directed,1
6,88,Directed,1
27,19,Directed,75
39,17,Directed,1
25,9,Directed,17
39,13,Directed,1
40,46,Directed,1
1,6,Directed,2
39,10,Directed,2
25,1,Directed,11
25,2,Directed,45
25,3,Directed,2
25,4,Directed,3
25,5,Directed,2
97,15,Directed,1
25,7,Directed,4
9,1,Directed,15
25,24,Directed,11
147,2,Directed,1
20,46,Directed,3
7,36,Directed,2
20,45,Directed,3
4,2,Directed,50
46,24,Directed,3
7,8,Directed,9
15,71,Directed,2
35,78,Directed,3
90,86,Directed,4
11,29,Directed,2
128,46,Directed,1
1,67,Directed,1
10,46,Directed,3
56,33,Directed,3
165,1,Directed,1
6,28,Directed,1
49,9,Directed,1
77,1,Directed,1
77,3,Directed,1
32,26,Directed,12
6,21,Directed,1
6,20,Directed,5
93,14,Directed,1
6,24,Directed,3
28,46,Directed,1
21,8,Directed,24
58,2,Directed,1
4,9,Directed,29
32,23,Directed,10
21,6,Directed,10
21,7,Directed,41
89,19,Directed,1
21,2,Directed,1
46,23,Directed,2
10,23,Directed,3
13,39,Directed,2
30,17,Directed,16
136,38,Directed,1
4,32,Directed,1
26,55,Directed,2
13,38,Directed,5
50,34,Directed,1
36,50,Directed,1
26,58,Directed,1
36,57,Directed,1
50,32,Directed,3
18,17,Directed,20
54,24,Directed,1
7,5,Directed,43
132,29,Directed,1
54,20,Directed,2
164,151,Directed,1
7,4,Directed,4
160,29,Directed,1
61,36,Directed,5
61,37,Directed,3
51,20,Directed,22
17,24,Directed,1
7,33,Directed,2
26,25,Directed,4
17,23,Directed,4
17,20,Directed,6
23,21,Directed,1
12,46,Directed,5
12,45,Directed,1
15,101,Directed,1
23,25,Directed,4
12,41,Directed,2
23,26,Directed,7
136,23,Directed,1
90,19,Directed,3
22,62,Directed,1
34,3,Directed,18
2,25,Directed,4
2,24,Directed,1
2,27,Directed,2
2,26,Directed,115
13,19,Directed,1
2,20,Directed,5
2,23,Directed,34
21,9,Directed,1
11,15,Directed,25
11,14,Directed,1
11,17,Directed,21
11,16,Directed,1
1,128,Directed,1
11,10,Directed,20
11,13,Directed,9
11,12,Directed,211
33,4,Directed,2
155,156,Directed,1
11,19,Directed,1
58,39,Directed,9
16,80,Directed,1
62,39,Directed,1
34,4,Directed,1
6,8,Directed,2
6,9,Directed,9
1,46,Directed,13
6,7,Directed,52
25,54,Directed,1
6,5,Directed,8
6,2,Directed,6
37,13,Directed,2
25,50,Directed,10
25,51,Directed,34
54,30,Directed,1
12,23,Directed,2
32,50,Directed,4
44,64,Directed,2
18,77,Directed,1
44,62,Directed,2
104,14,Directed,1
58,12,Directed,1
135,62,Directed,1
12,30,Directed,1
24,23,Directed,1
12,31,Directed,1
39,38,Directed,1
13,28,Directed,7
123,10,Directed,2
158,19,Directed,1
13,22,Directed,7
13,20,Directed,10
33,36,Directed,1
39,40,Directed,50
13,27,Directed,1
13,24,Directed,11
13,25,Directed,5
24,5,Directed,3
24,4,Directed,2
16,12,Directed,1
16,13,Directed,5
24,1,Directed,2
29,1,Directed,4
29,2,Directed,1
27,9,Directed,8
27,6,Directed,3
16,19,Directed,1
15,80,Directed,1
27,5,Directed,7
27,2,Directed,3
29,9,Directed,11
5,46,Directed,2
27,1,Directed,1
159,24,Directed,1
119,1,Directed,1
17,70,Directed,1
22,15,Directed,1
7,129,Directed,1
27,50,Directed,1
91,49,Directed,1
4,21,Directed,1
23,2,Directed,91
23,3,Directed,2
15,13,Directed,29
15,12,Directed,2
66,22,Directed,6
15,14,Directed,5
23,4,Directed,14
15,16,Directed,84
15,19,Directed,4
15,18,Directed,2
19,28,Directed,2
23,9,Directed,19
70,25,Directed,4
7,38,Directed,1
139,140,Directed,1
29,17,Directed,3
29,14,Directed,4
29,15,Directed,3
22,1,Directed,3
29,10,Directed,1
38,55,Directed,1
55,10,Directed,1
23,38,Directed,2
29,19,Directed,1
40,49,Directed,1
23,39,Directed,3
83,58,Directed,1
57,23,Directed,2
40,41,Directed,1
46,62,Directed,1
64,30,Directed,2
27,90,Directed,7
16,11,Directed,1
67,81,Directed,1
19,18,Directed,1
20,9,Directed,56
77,33,Directed,2
146,13,Directed,1
9,2,Directed,7
9,5,Directed,4
9,4,Directed,2
9,7,Directed,5
47,64,Directed,1
20,1,Directed,19
7,10,Directed,3
20,2,Directed,31
20,5,Directed,14
20,4,Directed,5
20,7,Directed,156
20,6,Directed,25
26,52,Directed,1
19,27,Directed,7
27,28,Directed,6
150,13,Directed,1
27,25,Directed,53
27,24,Directed,1
27,26,Directed,1
10,143,Directed,1
27,20,Directed,32
27,23,Directed,7
9,46,Directed,3
9,45,Directed,1
9,43,Directed,21
67,122,Directed,1
106,107,Directed,1
7,103,Directed,3
44,4,Directed,1
34,32,Directed,9
87,13,Directed,1
21,17,Directed,1
1,102,Directed,1
21,15,Directed,2
52,58,Directed,3
21,13,Directed,1
130,11,Directed,1
6,10,Directed,1
6,11,Directed,2
29,23,Directed,1
6,13,Directed,5
21,103,Directed,1
46,18,Directed,1
6,17,Directed,2
46,15,Directed,16
6,19,Directed,3
46,17,Directed,1
17,61,Directed,2
46,11,Directed,2
46,10,Directed,1
46,13,Directed,8
26,163,Directed,1
19,5,Directed,51
71,17,Directed,1
15,72,Directed,1
24,6,Directed,1
3,33,Directed,2
3,32,Directed,29
19,7,Directed,52
15,61,Directed,1
25,13,Directed,7
25,10,Directed,3
19,6,Directed,10
25,16,Directed,3
25,17,Directed,4
25,14,Directed,4
25,15,Directed,26
15,26,Directed,1
25,18,Directed,4
36,28,Directed,11
4,151,Directed,1
18,30,Directed,15
44,23,Directed,2
19,74,Directed,1
18,33,Directed,4
62,9,Directed,1
44,24,Directed,1
44,25,Directed,1
18,38,Directed,2
18,39,Directed,3
72,73,Directed,1
122,20,Directed,1
6,45,Directed,2
38,121,Directed,3
6,15,Directed,6
12,14,Directed,1
12,15,Directed,32
23,74,Directed,1
12,17,Directed,67
12,10,Directed,19
12,11,Directed,58
12,13,Directed,13
67,17,Directed,1
78,14,Directed,3
12,19,Directed,6
37,39,Directed,1
37,38,Directed,4
26,17,Directed,3
2,15,Directed,8
26,15,Directed,1
26,14,Directed,3
2,10,Directed,1
2,11,Directed,3
1,15,Directed,3
46,14,Directed,2
38,36,Directed,4
38,37,Directed,2
51,13,Directed,1
51,15,Directed,8
2,19,Directed,8
26,19,Directed,1
62,56,Directed,1
28,1,Directed,6
66,61,Directed,1
8,21,Directed,6
28,2,Directed,8
28,5,Directed,5
28,7,Directed,5
15,49,Directed,1
28,9,Directed,8
20,115,Directed,2
132,53,Directed,1
15,45,Directed,4
7,62,Directed,1
15,41,Directed,1
33,24,Directed,1
1,14,Directed,5
1,17,Directed,26
1,16,Directed,4
33,20,Directed,2
1,10,Directed,6
1,13,Directed,14
12,7,Directed,7
61,20,Directed,2
1,19,Directed,6
33,29,Directed,1
11,27,Directed,1
18,44,Directed,1
18,46,Directed,5
18,41,Directed,1
161,89,Directed,1
11,9,Directed,28
23,88,Directed,1
19,70,Directed,1
74,14,Directed,3
74,15,Directed,2
1,164,Directed,1
118,25,Directed,1
74,13,Directed,1
40,104,Directed,1
18,101,Directed,1
41,17,Directed,4
11,6,Directed,1
61,9,Directed,1
13,50,Directed,2
120,39,Directed,1
66,2,Directed,2
13,54,Directed,4
16,2,Directed,1
61,2,Directed,1
7,54,Directed,3
8,103,Directed,1
24,47,Directed,1
66,9,Directed,1
61,7,Directed,2
4,27,Directed,212
4,26,Directed,9
4,25,Directed,40
4,24,Directed,2
4,23,Directed,41
45,41,Directed,4
4,20,Directed,53
5,55,Directed,2
57,15,Directed,4
107,108,Directed,1
123,81,Directed,1
4,28,Directed,2
16,29,Directed,1
16,28,Directed,1
138,23,Directed,1
27,62,Directed,1
20,142,Directed,2
20,143,Directed,1
17,19,Directed,1
20,141,Directed,1
16,23,Directed,1
74,9,Directed,2
76,20,Directed,1
16,24,Directed,1
1,11,Directed,2
3,34,Directed,8
62,29,Directed,1
25,57,Directed,2
19,4,Directed,2
134,17,Directed,1
81,62,Directed,1
44,122,Directed,1
83,17,Directed,2
92,7,Directed,7
46,9,Directed,2
2,38,Directed,1
40,9,Directed,2
11,58,Directed,1
40,7,Directed,4
46,7,Directed,5
46,1,Directed,16
40,2,Directed,1
40,1,Directed,5
46,2,Directed,7
145,14,Directed,2
88,44,Directed,2
36,20,Directed,10
10,58,Directed,1
33,9,Directed,8
67,10,Directed,1
43,9,Directed,21
24,29,Directed,1
62,2,Directed,2
62,7,Directed,1
36,25,Directed,1
101,40,Directed,1
26,45,Directed,1
25,39,Directed,2
33,5,Directed,2
49,7,Directed,4
25,159,Directed,1
124,125,Directed,1
63,44,Directed,1
29,36,Directed,1
5,10,Directed,1
89,11,Directed,1
136,29,Directed,4
25,19,Directed,5
64,62,Directed,2
26,44,Directed,2
33,1,Directed,4
26,46,Directed,17
16,5,Directed,1
50,44,Directed,2
19,1,Directed,9
74,69,Directed,1
9,19,Directed,3
10,21,Directed,2
102,69,Directed,1
9,15,Directed,19
9,14,Directed,3
9,17,Directed,22
10,20,Directed,8
9,11,Directed,64
9,10,Directed,283
9,13,Directed,7
9,12,Directed,38
17,13,Directed,8
52,132,Directed,1
17,11,Directed,5
85,15,Directed,1
17,16,Directed,5
17,15,Directed,32
17,14,Directed,4
23,32,Directed,8
23,33,Directed,66
12,52,Directed,3
17,18,Directed,291
36,6,Directed,1
23,34,Directed,2
76,97,Directed,1
36,7,Directed,1
131,13,Directed,1
8,9,Directed,1
2,50,Directed,3
6,46,Directed,2
8,6,Directed,11
8,7,Directed,16
2,56,Directed,5
38,19,Directed,1
58,41,Directed,1
58,40,Directed,4
18,36,Directed,3
144,64,Directed,1
58,46,Directed,1
74,25,Directed,2
